key,toss_winner,toss_decision,decision,winner
ntb0792,,,bat,Nottinghamshire
ntb0793,,,field,Surrey
ntb0794,,,bat,Durham
ntb0795,,,bat,Glamorgan
ntb0796,,,bat,Northamptonshire
ntb0797,,,bat,Birmingham Bears
ntb0798,,,field,Sussex
ntb0799,,,bat,Essex
ntb0800,,,bat,Somerset
ntb0801,,,field,Sussex
ntb0802,,,field,Durham
ntb0803,,,bat,Leicestershire
ntb0804,,,bat,Derbyshire
ntb0805,,,bat,Worcestershire
ntb0806,,,bat,Birmingham Bears
ntb0807,,,bat,Hampshire
ntb0808,,,field,Surrey
ntb0809,,,field,Sussex
ntb0810,,,field,Kent
ntb0811,,,field,Nottinghamshire
ntb0812,,,bat,Northamptonshire
ntb0813,,,bat,Lancashire
ntb0814,,,field,Surrey
ntb0815,,,field,Nottinghamshire
ntb0816,,,field,Essex
ntb0817,,,field,Nottinghamshire
ntb0818,,,bat,Derbyshire
ntb0819,,,field,Hampshire
ntb0820,,,bat,Gloucestershire
ntb0821,,,field,Middlesex
ntb0822,,,bat,Lancashire
ntb0823,,,field,Yorkshire
ntb0824,,,field,Leicestershire
ntb0825,,,field,Nottinghamshire
ntb0826,,,field,Northamptonshire
ntb0827,,,field,Surrey
ntb0828,,,field,Essex
ntb0829,,,field,Yorkshire
ntb0830,,,field,Middlesex
ntb0831,,,field,Sussex
ntb0832,,,bat,Hampshire
ntb0833,,,bat,Leicestershire
