balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Manchester,2016-05-21,male,T20,20,HD Rutherford,2016,club,Old Trafford,ntb00253,
6,London,2016-05-26,male,T20,20,T van der Gugten,2016,club,Kennington Oval,ntb00254,
6,,2016-05-27,male,T20,20,DJ Malan,2016,club,Uxbridge Cricket Club Ground,ntb00255,
6,Northampton,2016-05-27,male,T20,20,RE Levi,2016,club,County Ground,ntb00256,
6,Manchester,2016-05-27,male,T20,20,P Mustard,2016,club,Old Trafford,ntb00257,
6,Leeds,2016-05-27,male,T20,20,BA Raine,2016,club,Headingley,ntb00258,
6,Birmingham,2016-05-27,male,T20,20,BL D'Oliveira,2016,club,Edgbaston,ntb00259,
6,Cardiff,2016-06-01,male,T20,20,JD Ryder,2016,club,Sophia Gardens,ntb00260,
6,Chester-le-Street,2016-06-01,male,T20,20,PD Collingwood,2016,club,Riverside Ground,ntb00261,
6,Hove,2016-06-01,male,T20,20,CD Nash,2016,club,County Ground,ntb00262,
6,Northwood,2016-06-02,male,T20,20,BAC Howell,2016,club,Merchant Taylors' School Ground,ntb00263,
6,Southampton,2016-06-02,male,T20,20,Shahid Afridi,2016,club,The Rose Bowl,ntb00264,
6,Worcester,2016-06-02,male,T20,20,J Leach,2016,club,"County Ground, New Road",ntb00265,
6,Manchester,2016-06-03,male,T20,20,LS Livingstone,2016,club,Old Trafford,ntb00266,
6,Derby,2016-06-03,male,T20,20,JDS Neesham,2016,club,County Ground,ntb00267,
6,Northampton,2016-06-03,male,T20,20,JJ Cobb,2016,club,County Ground,ntb00268,
6,Beckenham,2016-06-03,male,T20,20,AJ Tye,2016,club,Kent County Cricket Ground,ntb00269,
6,Cardiff,2016-06-03,male,T20,20,AHT Donald,2016,club,Sophia Gardens,ntb00270,
6,Birmingham,2016-06-03,male,T20,20,V Chopra,2016,club,Edgbaston,ntb00271,
6,Hove,2016-06-03,male,T20,20,JJ Roy,2016,club,County Ground,ntb00272,
6,Taunton,2016-06-03,male,T20,20,L Gregory,2016,club,County Ground,ntb00273,
6,Leicester,2016-06-04,male,T20,20,BA Raine,2016,club,Grace Road,ntb00274,
6,Nottingham,2016-06-04,male,T20,20,MH Wessels,2016,club,Trent Bridge,ntb00275,
6,Canterbury,2016-06-08,male,T20,20,SW Billings,2016,club,St Lawrence Ground,ntb00276,
6,London,2016-06-09,male,T20,20,DP Sibley,2016,club,Kennington Oval,ntb00277,
6,Worcester,2016-06-10,male,T20,20,OB Cox,2016,club,"County Ground, New Road",ntb00278,
6,Taunton,2016-06-10,male,T20,20,JG Myburgh,2016,club,County Ground,ntb00279,
6,Hove,2016-06-10,male,T20,20,LRPL Taylor,2016,club,County Ground,ntb00280,
6,Bristol,2016-06-10,male,T20,20,CA Ingram,2016,club,County Ground,ntb00281,
6,Manchester,2016-06-10,male,T20,20,J Clark,2016,club,Old Trafford,ntb00282,
6,Chelmsford,2016-06-10,male,T20,20,EJG Morgan,2016,club,County Ground,ntb00283,
6,Chelmsford,2016-06-16,male,T20,20,M Klinger,2016,club,County Ground,ntb00284,
6,Derby,2016-06-17,male,T20,20,IR Bell,2016,club,County Ground,ntb00285,
6,Northampton,2016-06-17,male,T20,20,JJ Cobb,2016,club,County Ground,ntb00286,
6,Cardiff,2016-06-17,male,T20,20,DL Lloyd,2016,club,Sophia Gardens,ntb00287,
