key_id,decision,winner
t20s0951,field,West Indies
t20s0952,field,Bangladesh
t20s0953,field,Sri Lanka
t20s0954,bat,West Indies
t20s0955,field,Nepal
t20s0956,bat,Pakistan
t20s0957,bat,United Arab Emirates
t20s0958,bat,Sri Lanka
t20s0959,field,Pakistan
t20s0960,bat,Pakistan
t20s0961,field,United Arab Emirates
t20s0962,field,Pakistan
t20s0963,field,Sri Lanka
t20s0964,field,India
t20s0965,field,India
t20s0966,field,South Africa
t20s0967,field,New Zealand
t20s0968,bat,New Zealand
t20s0969,bat,New Zealand
t20s0970,field,India
t20s0971,field,Oman
t20s0972,field,Netherlands
t20s0973,field,Scotland
t20s0974,field,Netherlands
t20s0975,field,Scotland
t20s0976,field,Ireland
t20s0977,bat,United Arab Emirates
t20s0978,field,Kuwait
t20s0979,field,Thailand
t20s0980,bat,United Arab Emirates
t20s0981,field,China
t20s0982,bat,Nepal
t20s0983,field,China
t20s0984,bat,Thailand
t20s0985,bat,United Arab Emirates
t20s0986,bat,Ireland
t20s0987,bat,Malaysia
t20s0988,bat,Thailand
t20s0989,bat,United Arab Emirates
t20s0990,bat,Afghanistan
t20s0991,bat,Hong Kong
t20s0992,bat,Kuwait
t20s0993,field,China
t20s0994,field,Australia
t20s0995,field,Ireland
t20s0996,field,Hong Kong
t20s0997,field,China
t20s0998,field,Malaysia
t20s0999,bat,Thailand
t20s1000,field,Kuwait
t20s1001,field,Australia
t20s1002,field,India
t20s1003,field,England
t20s1004,field,England
t20s1005,field,West Indies
t20s1006,bat,England
t20s1007,bat,West Indies
t20s1008,field,United Arab Emirates
t20s1009,bat,United Arab Emirates
t20s1010,field,South Africa
t20s1011,bat,Vanuatu
t20s1012,field,Philippines
t20s1013,field,Sri Lanka
